,depot_msk_south,depot_msk_north,depot_msk_east,site_001,site_002,site_003,site_004,site_005,site_006,site_007,site_008,site_009,site_010,site_011,site_012,site_013,site_014,site_015,site_016,site_017,site_018,site_019,site_020,site_021,site_022,site_023,site_024,site_025,site_026,site_027,site_028,site_029,site_030,site_031,site_032,site_033,site_034,site_035
depot_msk_south,0.0,51.24,29.8,29.1,43.86,44.41,52.69,29.18,32.2,32.95,28.28,19.85,17.62,7.7,0.96,9.99,4.38,9.91,12.17,16.5,23.06,30.39,24.53,28.89,37.89,35.32,28.22,10.2,18.38,27.59,28.02,16.6,16.41,16.09,12.36,34.56,43.17,33.96
depot_msk_north,52.97,0.0,39.44,16.98,20.47,4.5,4.07,13.61,21.94,28.28,24.38,30.72,32.55,41.35,53.12,41.22,35.0,34.16,44.78,42.17,34.56,29.32,32.01,27.87,20.69,21.83,51.2,54.93,26.27,17.82,20.02,23.76,24.34,30.7,33.73,20.91,6.77,25.63
depot_msk_east,28.96,39.06,0.0,29.25,33.82,32.86,34.23,28.61,22.36,17.3,16.73,10.69,14.0,20.91,29.91,25.88,33.12,29.02,31.24,41.42,34.2,37.17,36.66,39.21,37.99,46.1,53.14,35.11,30.4,29.34,19.19,17.45,23.85,18.71,21.74,23.01,31.62,16.87
site_001,29.53,20.88,27.92,0.0,7.91,12.8,14.17,13.01,17.11,21.8,18.93,20.9,16.8,24.66,29.1,26.39,25.42,21.82,21.01,21.95,15.67,10.84,16.48,11.8,11.63,15.03,36.48,37.84,13.93,1.9,11.54,12.59,13.17,18.36,21.39,17.08,12.86,22.81
site_002,34.98,17.18,32.41,7.79,0.0,15.4,14.83,17.49,21.6,26.29,23.42,25.39,21.28,30.11,34.55,31.84,30.86,27.27,26.46,27.39,21.12,14.46,17.6,12.75,6.43,13.03,42.4,46.13,19.38,8.28,16.02,17.87,18.45,23.81,26.84,21.57,15.5,27.3
site_003,44.48,5.01,32.99,13.07,13.58,0.0,1.81,9.69,18.03,22.18,20.47,26.81,28.64,37.43,44.63,37.3,31.09,30.25,29.44,30.38,24.1,21.55,24.91,19.84,17.31,23.81,53.17,56.91,22.36,13.91,16.11,19.84,20.43,26.79,29.82,16.99,4.85,26.55
site_004,45.71,4.66,40.93,14.3,14.81,1.81,0.0,10.93,19.26,23.41,21.7,28.04,29.87,38.66,45.86,38.53,32.32,31.48,30.68,31.61,25.33,22.78,26.14,21.07,21.45,22.59,51.95,55.69,23.59,15.14,17.34,21.07,21.66,28.02,31.05,18.22,5.08,27.13
site_005,29.02,13.82,22.61,12.3,16.87,9.96,11.33,0.0,8.08,17.63,11.92,22.25,17.53,32.88,29.17,32.75,26.43,24.04,27.93,28.86,22.59,22.02,22.74,23.84,21.04,30.81,40.68,38.85,20.84,12.39,8.48,14.41,16.9,15.64,18.28,6.03,8.59,19.05
site_006,31.46,30.33,21.21,16.69,21.26,21.96,23.33,8.19,0.0,6.95,6.55,13.79,15.59,24.41,31.61,24.28,30.02,27.47,29.69,28.31,26.98,25.78,26.5,28.24,25.44,30.38,43.73,42.69,25.24,16.79,7.94,16.25,18.73,17.16,20.19,6.77,16.37,6.85
site_007,31.19,27.9,18.04,19.49,24.06,19.52,20.9,12.1,5.06,0.0,3.79,13.52,15.35,24.14,31.34,24.01,29.75,27.21,29.43,31.8,32.39,27.39,28.12,29.43,28.24,40.37,47.22,42.42,28.59,19.59,9.56,19.36,22.04,16.89,19.92,9.68,18.29,4.8
