,depot_msk_south,depot_msk_north,depot_msk_east,site_001,site_002,site_003,site_004,site_005,site_006,site_007,site_008,site_009,site_010,site_011,site_012,site_013,site_014,site_015,site_016,site_017,site_018,site_019,site_020,site_021,site_022,site_023,site_024,site_025,site_026,site_027,site_028,site_029,site_030,site_031,site_032,site_033,site_034,site_035
depot_msk_south,0.0,0.68,0.44,0.55,0.62,0.71,0.76,0.62,0.56,0.54,0.45,0.35,0.35,0.17,0.04,0.21,0.11,0.22,0.27,0.3,0.39,0.47,0.38,0.42,0.53,0.49,0.44,0.25,0.4,0.53,0.49,0.33,0.35,0.32,0.25,0.59,0.67,0.58
depot_msk_north,0.75,0.0,0.55,0.4,0.38,0.12,0.12,0.32,0.45,0.4,0.47,0.54,0.59,0.69,0.77,0.72,0.74,0.7,0.7,0.65,0.58,0.51,0.52,0.45,0.36,0.36,0.76,0.84,0.56,0.41,0.45,0.54,0.55,0.6,0.67,0.46,0.16,0.39
depot_msk_east,0.42,0.55,0.0,0.57,0.66,0.56,0.61,0.49,0.41,0.28,0.3,0.25,0.32,0.41,0.46,0.43,0.49,0.55,0.6,0.63,0.62,0.67,0.64,0.69,0.76,0.79,0.77,0.59,0.56,0.57,0.38,0.4,0.45,0.34,0.41,0.44,0.52,0.29
site_001,0.57,0.41,0.58,0.0,0.21,0.34,0.38,0.32,0.41,0.5,0.44,0.47,0.43,0.5,0.59,0.56,0.51,0.46,0.47,0.48,0.37,0.35,0.36,0.31,0.3,0.35,0.72,0.76,0.32,0.1,0.29,0.33,0.35,0.36,0.43,0.42,0.35,0.54
site_002,0.65,0.33,0.64,0.19,0.0,0.34,0.34,0.38,0.47,0.56,0.49,0.53,0.48,0.58,0.66,0.63,0.58,0.53,0.54,0.56,0.44,0.35,0.38,0.29,0.16,0.28,0.69,0.77,0.39,0.21,0.35,0.4,0.41,0.44,0.5,0.48,0.36,0.6
site_003,0.72,0.13,0.59,0.31,0.31,0.0,0.07,0.23,0.37,0.42,0.39,0.46,0.51,0.61,0.74,0.63,0.66,0.62,0.63,0.64,0.53,0.5,0.52,0.44,0.4,0.4,0.81,0.89,0.47,0.32,0.37,0.46,0.47,0.52,0.59,0.38,0.13,0.45
site_004,0.75,0.13,0.62,0.35,0.35,0.07,0.0,0.27,0.4,0.46,0.43,0.5,0.54,0.64,0.78,0.67,0.7,0.65,0.66,0.68,0.56,0.54,0.55,0.48,0.4,0.4,0.8,0.88,0.51,0.36,0.4,0.49,0.5,0.55,0.62,0.41,0.14,0.46
site_005,0.61,0.33,0.48,0.28,0.37,0.24,0.28,0.0,0.23,0.34,0.3,0.37,0.37,0.52,0.63,0.55,0.57,0.55,0.59,0.61,0.49,0.47,0.47,0.47,0.47,0.5,0.84,0.82,0.44,0.29,0.21,0.35,0.4,0.38,0.42,0.18,0.19,0.35
site_006,0.58,0.52,0.39,0.37,0.46,0.44,0.48,0.23,0.0,0.17,0.17,0.32,0.36,0.46,0.6,0.49,0.58,0.59,0.64,0.66,0.58,0.56,0.56,0.56,0.56,0.61,0.91,0.81,0.53,0.38,0.21,0.4,0.46,0.38,0.45,0.21,0.4,0.19
site_007,0.52,0.45,0.3,0.41,0.5,0.37,0.41,0.29,0.13,0.0,0.1,0.26,0.3,0.4,0.54,0.43,0.52,0.53,0.58,0.62,0.61,0.58,0.57,0.59,0.6,0.62,0.87,0.75,0.54,0.42,0.23,0.4,0.43,0.32,0.39,0.24,0.33,0.13
site_008,0.5,0.45,0.31,0.4,0.49,0.37,0.42,0.3,0.16,0.13,0.0,0.24,0.29,0.39,0.52,0.41,0.5,0.51,0.56,0.6,0.59,0.57,0.56,0.58,0.59,0.62,0.85,0.73,0.53,0.41,0.21,0.35,0.41,0.3,0.37,0.25,0.33,0.18
site_009,0.31,0.55,0.23,0.44,0.51,0.47,0.51,0.39,0.32,0.3,0.21,0.0,0.12,0.19,0.33,0.22,0.31,0.35,0.4,0.46,0.44,0.49,0.46,0.51,0.62,0.61,0.7,0.54,0.38,0.42,0.25,0.21,0.27,0.16,0.22,0.34,0.43,0.34
site_010,0.35,0.6,0.24,0.45,0.52,0.52,0.57,0.4,0.37,0.35,0.26,0.11,0.0,0.24,0.38,0.27,0.36,0.38,0.43,0.47,0.45,0.5,0.47,0.51,0.62,0.62,0.71,0.59,0.39,0.43,0.27,0.22,0.28,0.17,0.23,0.4,0.48,0.39
site_011,0.18,0.7,0.39,0.5,0.6,0.62,0.67,0.54,0.47,0.45,0.36,0.26,0.28,0.0,0.2,0.11,0.18,0.21,0.26,0.33,0.42,0.53,0.45,0.55,0.67,0.66,0.6,0.41,0.36,0.47,0.4,0.28,0.3,0.25,0.19,0.5,0.58,0.49
site_012,0.04,0.72,0.45,0.55,0.65,0.73,0.77,0.62,0.59,0.56,0.48,0.37,0.37,0.2,0.0,0.24,0.11,0.22,0.27,0.33,0.42,0.5,0.41,0.45,0.56,0.52,0.47,0.28,0.4,0.52,0.52,0.33,0.35,0.32,0.27,0.61,0.69,0.6
site_013,0.22,0.73,0.42,0.5,0.6,0.65,0.69,0.56,0.5,0.48,0.39,0.29,0.29,0.08,0.24,0.0,0.23,0.23,0.31,0.37,0.43,0.53,0.47,0.55,0.67,0.66,0.65,0.46,0.36,0.47,0.43,0.28,0.3,0.26,0.19,0.52,0.61,0.52
site_014,0.11,0.74,0.47,0.5,0.59,0.67,0.71,0.57,0.58,0.55,0.47,0.36,0.33,0.19,0.12,0.23,0.0,0.15,0.2,0.27,0.36,0.47,0.39,0.47,0.58,0.54,0.49,0.29,0.34,0.47,0.47,0.27,0.29,0.26,0.21,0.6,0.68,0.6
site_015,0.22,0.72,0.51,0.44,0.54,0.63,0.68,0.55,0.57,0.55,0.46,0.38,0.3,0.2,0.23,0.26,0.15,0.0,0.12,0.18,0.27,0.38,0.31,0.43,0.56,0.52,0.46,0.4,0.26,0.42,0.45,0.25,0.26,0.23,0.21,0.59,0.65,0.59
site_016,0.27,0.64,0.56,0.42,0.52,0.61,0.65,0.55,0.61,0.59,0.5,0.43,0.34,0.26,0.28,0.3,0.2,0.11,0.0,0.09,0.21,0.32,0.24,0.36,0.49,0.45,0.38,0.41,0.22,0.39,0.47,0.29,0.24,0.28,0.29,0.63,0.62,0.63
site_017,0.33,0.59,0.6,0.46,0.53,0.65,0.66,0.59,0.65,0.63,0.54,0.46,0.38,0.33,0.35,0.37,0.26,0.18,0.09,0.0,0.2,0.31,0.23,0.32,0.44,0.4,0.33,0.43,0.21,0.43,0.51,0.34,0.28,0.31,0.36,0.67,0.66,0.67
site_018,0.43,0.53,0.61,0.35,0.42,0.54,0.58,0.5,0.59,0.64,0.56,0.48,0.4,0.41,0.44,0.47,0.36,0.28,0.21,0.2,0.0,0.19,0.11,0.24,0.37,0.33,0.43,0.54,0.1,0.32,0.47,0.37,0.3,0.33,0.4,0.61,0.55,0.68
site_019,0.5,0.46,0.64,0.32,0.32,0.52,0.53,0.5,0.58,0.67,0.58,0.5,0.42,0.49,0.52,0.55,0.47,0.39,0.32,0.31,0.2,0.0,0.14,0.15,0.3,0.27,0.51,0.59,0.22,0.31,0.46,0.37,0.35,0.36,0.42,0.6,0.51,0.71
site_020,0.4,0.48,0.61,0.34,0.36,0.52,0.55,0.49,0.58,0.65,0.56,0.48,0.4,0.45,0.42,0.49,0.39,0.3,0.24,0.23,0.11,0.14,0.0,0.16,0.32,0.28,0.41,0.49,0.16,0.31,0.45,0.34,0.33,0.33,0.4,0.59,0.54,0.69
site_021,0.46,0.41,0.64,0.27,0.28,0.48,0.48,0.5,0.59,0.68,0.59,0.51,0.43,0.5,0.47,0.56,0.48,0.39,0.33,0.32,0.21,0.15,0.15,0.0,0.25,0.21,0.47,0.55,0.24,0.26,0.47,0.37,0.36,0.36,0.43,0.6,0.47,0.71
site_022,0.57,0.28,0.73,0.28,0.15,0.36,0.36,0.45,0.56,0.6,0.59,0.62,0.56,0.64,0.58,0.69,0.61,0.58,0.51,0.46,0.39,0.33,0.33,0.26,0.0,0.17,0.58,0.66,0.43,0.3,0.44,0.49,0.49,0.5,0.56,0.58,0.39,0.59
site_023,0.52,0.33,0.77,0.32,0.27,0.4,0.4,0.5,0.62,0.65,0.64,0.64,0.56,0.63,0.53,0.68,0.56,0.53,0.46,0.41,0.34,0.28,0.28,0.21,0.18,0.0,0.53,0.61,0.38,0.31,0.51,0.5,0.49,0.49,0.56,0.63,0.44,0.64
