equipment_id,type,capacity_class,depot_location,available_from,available_until
EQ-001,excavator,light,depot_msk_north,0.0,96.0
EQ-002,excavator,medium,depot_msk_south,0.0,96.0
EQ-003,excavator,medium,depot_msk_east,0.0,96.0
EQ-004,dump_truck,light,depot_msk_north,28.1,96.0
EQ-005,loader,light,depot_msk_north,0.0,96.0
EQ-006,loader,heavy,depot_msk_east,0.0,96.0
EQ-007,loader,heavy,depot_msk_north,0.0,96.0
EQ-008,excavator,medium,depot_msk_east,0.0,96.0
EQ-009,excavator,light,depot_msk_east,0.0,96.0
EQ-010,loader,light,depot_msk_north,19.1,96.0
EQ-011,crane,heavy,depot_msk_south,0.0,96.0
EQ-012,loader,heavy,depot_msk_north,0.0,83.9
EQ-013,crane,light,depot_msk_east,16.3,92.5
EQ-014,crane,heavy,depot_msk_south,0.0,96.0
EQ-015,excavator,light,depot_msk_south,0.0,96.0
EQ-016,dump_truck,medium,depot_msk_east,0.0,96.0
EQ-017,dump_truck,heavy,depot_msk_east,0.0,96.0
EQ-018,loader,light,depot_msk_east,0.0,70.1
EQ-019,excavator,light,depot_msk_east,0.0,96.0
EQ-020,crane,light,depot_msk_north,0.0,96.0
EQ-021,crane,light,depot_msk_east,0.0,95.5
EQ-022,loader,medium,depot_msk_south,0.0,88.9
EQ-023,dump_truck,medium,depot_msk_south,0.0,96.0
EQ-024,loader,light,depot_msk_south,0.0,96.0
EQ-025,crane,heavy,depot_msk_north,0.0,96.0
EQ-026,crane,light,depot_msk_south,0.0,96.0
EQ-027,dump_truck,heavy,depot_msk_east,0.0,96.0
EQ-028,loader,heavy,depot_msk_north,21.7,96.0
EQ-029,excavator,light,depot_msk_north,0.0,96.0
EQ-030,excavator,light,depot_msk_east,0.0,61.7
EQ-031,dump_truck,medium,depot_msk_north,0.0,96.0
EQ-032,loader,light,depot_msk_east,0.0,96.0
EQ-033,excavator,medium,depot_msk_north,0.0,96.0
EQ-034,excavator,medium,depot_msk_north,0.0,96.0
EQ-035,excavator,heavy,depot_msk_north,0.0,96.0
EQ-036,excavator,light,depot_msk_south,0.0,96.0
EQ-037,excavator,medium,depot_msk_south,0.0,96.0
EQ-038,crane,heavy,depot_msk_south,0.0,96.0
EQ-039,excavator,light,depot_msk_south,0.0,96.0
EQ-040,excavator,heavy,depot_msk_north,16.7,96.0
