location_id,kind,address,city,lat,lon,geocode_source
depot_msk_south,depot,"Россия, Москва, Симферопольское шоссе, 1",Москва,55.5931,37.6144,fallback_manual
depot_msk_north,depot,"Россия, Москва, Дмитровское шоссе, 165",Москва,55.8992,37.5364,fallback_manual
depot_msk_east,depot,"Россия, Москва, Новорязанское шоссе, 1",Москва,55.7014,37.8494,fallback_manual
site_001,order_site,"Россия, Москва, Ходынский бульвар, 4",Москва,55.7863,37.5306,fallback_manual
site_002,order_site,"Россия, Москва, Ленинградское шоссе, 16А",Москва,55.8103,37.4886,fallback_manual
site_003,order_site,"Россия, Москва, Бескудниковский бульвар, 30",Москва,55.8686,37.5546,fallback_manual
site_004,order_site,"Россия, Москва, Дмитровское шоссе, 89",Москва,55.8712,37.5471,fallback_manual
site_005,order_site,"Россия, Москва, проспект Мира, 211",Москва,55.8281,37.6407,fallback_manual
site_006,order_site,"Россия, Москва, Открытое шоссе, 19",Москва,55.8146,37.7462,fallback_manual
site_007,order_site,"Россия, Москва, Щёлковское шоссе, 100",Москва,55.8102,37.7969,fallback_manual
site_008,order_site,"Россия, Москва, Измайловский проспект, 73",Москва,55.7903,37.7736,fallback_manual
site_009,order_site,"Россия, Москва, Рязанский проспект, 2",Москва,55.7178,37.7255,fallback_manual
site_010,order_site,"Россия, Москва, Волгоградский проспект, 42",Москва,55.7128,37.7092,fallback_manual
site_011,order_site,"Россия, Москва, Каширское шоссе, 61",Москва,55.6386,37.6733,fallback_manual
site_012,order_site,"Россия, Москва, Варшавское шоссе, 141",Москва,55.5978,37.6136,fallback_manual
site_013,order_site,"Россия, Москва, Пролетарский проспект, 30",Москва,55.6469,37.6825,fallback_manual
site_014,order_site,"Россия, Москва, Симферопольский бульвар, 5",Москва,55.6236,37.6103,fallback_manual
site_015,order_site,"Россия, Москва, Севастопольский проспект, 56",Москва,55.6519,37.5836,fallback_manual
site_016,order_site,"Россия, Москва, Профсоюзная улица, 130",Москва,55.6494,37.5347,fallback_manual
site_017,order_site,"Россия, Москва, Ленинский проспект, 158",Москва,55.6522,37.5083,fallback_manual
site_018,order_site,"Россия, Москва, Мичуринский проспект, 27",Москва,55.6997,37.4783,fallback_manual
site_019,order_site,"Россия, Москва, Кутузовский проспект, 45",Москва,55.7358,37.4506,fallback_manual
site_020,order_site,"Россия, Москва, Аминьевское шоссе, 15",Москва,55.7089,37.4453,fallback_manual
site_021,order_site,"Россия, Москва, Рублёвское шоссе, 28",Москва,55.7397,37.4092,fallback_manual
site_022,order_site,"Россия, Москва, Волоколамское шоссе, 103",Москва,55.8114,37.4131,fallback_manual
site_023,order_site,"Россия, Москва, Новорижское шоссе, 5",Москва,55.8017,37.3486,fallback_manual
site_024,order_site,"Россия, Москва, Киевское шоссе, 22-й километр",Москва,55.6178,37.2789,fallback_manual
site_025,order_site,"Россия, Москва, Варшавское шоссе, 200",Москва,55.5364,37.5581,fallback_manual
site_026,order_site,"Россия, Москва, Мосфильмовская улица, 88",Москва,55.7042,37.5061,fallback_manual
site_027,order_site,"Россия, Москва, Ходынская улица, 2",Москва,55.7794,37.5303,fallback_manual
site_028,order_site,"Россия, Москва, Верхняя Красносельская улица, 3",Москва,55.7867,37.6672,fallback_manual
site_029,order_site,"Россия, Москва, Валовая улица, 8",Москва,55.7267,37.635,fallback_manual
site_030,order_site,"Россия, Москва, Шаболовка улица, 31",Москва,55.7203,37.6033,fallback_manual
site_031,order_site,"Россия, Москва, Автозаводская улица, 23",Москва,55.7061,37.6572,fallback_manual
site_032,order_site,"Россия, Москва, Нагатинская улица, 10",Москва,55.68,37.6608,fallback_manual
site_033,order_site,"Россия, Москва, Ярославское шоссе, 26",Москва,55.8244,37.6786,fallback_manual
site_034,order_site,"Россия, Москва, Алтуфьевское шоссе, 43",Москва,55.8697,37.5811,fallback_manual
site_035,order_site,"Россия, Москва, Изумрудная улица, 10",Москва,55.8228,37.8153,fallback_manual
