order_id,required_type,min_capacity_class,location,time_window_start,time_window_end,duration_hours,is_mandatory
ORD-001,crane,light,site_025,83.8,96.0,8.0,False
ORD-002,dump_truck,light,site_034,81.5,91.3,6.0,True
ORD-003,excavator,medium,site_008,80.3,88.1,6.0,True
ORD-003,dump_truck,medium,site_008,80.3,88.1,6.0,True
ORD-004,crane,light,site_022,81.2,91.9,10.0,True
ORD-004,loader,light,site_022,81.2,91.9,10.0,True
ORD-005,crane,light,site_030,34.4,61.2,6.0,True
ORD-006,loader,heavy,site_017,81.6,90.1,7.0,False
ORD-007,loader,heavy,site_033,8.0,39.0,24.0,False
ORD-008,dump_truck,heavy,site_020,34.1,43.4,9.0,False
ORD-009,crane,light,site_013,86.8,96.0,5.0,True
ORD-010,loader,heavy,site_035,84.4,96.0,7.0,True
ORD-011,dump_truck,medium,site_001,32.1,39.4,6.0,True
ORD-012,crane,heavy,site_008,57.3,68.7,10.0,True
ORD-013,dump_truck,light,site_020,81.7,96.0,10.0,True
ORD-014,excavator,light,site_006,33.9,51.3,10.0,True
ORD-015,crane,heavy,site_005,58.0,67.4,8.0,True
ORD-016,excavator,medium,site_009,86.6,96.0,5.0,True
ORD-016,dump_truck,medium,site_009,86.6,96.0,5.0,True
ORD-017,excavator,medium,site_017,38.8,65.4,5.0,True
ORD-017,dump_truck,medium,site_017,38.8,65.4,5.0,True
ORD-018,loader,heavy,site_014,81.9,95.9,7.0,False
ORD-019,excavator,light,site_020,32.4,43.9,11.0,True
ORD-019,dump_truck,light,site_020,32.4,43.9,11.0,True
ORD-020,loader,light,site_024,81.1,91.9,10.0,True
ORD-021,crane,light,site_008,8.0,30.1,22.0,True
ORD-022,excavator,light,site_022,80.6,96.0,11.0,True
ORD-022,dump_truck,light,site_022,80.6,96.0,11.0,True
ORD-023,crane,light,site_015,33.7,43.8,10.0,True
ORD-024,loader,light,site_004,80.6,92.2,9.0,True
ORD-025,dump_truck,light,site_022,82.2,96.0,9.0,True
ORD-026,excavator,light,site_032,32.3,42.2,8.0,False
ORD-027,excavator,light,site_031,32.9,40.0,6.0,False
ORD-028,crane,light,site_027,58.0,73.4,9.0,True
ORD-029,excavator,light,site_028,8.7,18.9,10.0,True
ORD-030,crane,medium,site_004,34.9,44.0,6.0,True
ORD-031,dump_truck,light,site_007,80.2,93.0,7.0,True
ORD-032,loader,light,site_007,80.3,90.4,8.0,True
ORD-033,excavator,light,site_029,59.9,71.1,6.0,False
